2RXS  J001459.4+733507     3.74756	  73.58534	 16.86 	  10.89855	  60.77864	    7.00	    9.34	  4.185621	  0.0131	  0.0059	  711.12	  -0.079	   0.441	  -1.000	   0.645
2RXS  J005745.1+732817    14.43820	  73.47159	 16.21 	  10.60529	  58.35933	    7.09	    7.97	  3.789221	  0.0108	  0.0052	  734.45	   1.000	   1.317	   0.211	   0.601
2RXS  J003638.3+732840     9.15984	  73.47787	 12.50 	  10.63671	  59.49574	   13.02	   12.14	  4.504707	  0.0173	  0.0064	  703.38	   0.983	   0.220	  -0.246	   0.205
2RXS  J010111.2+731838    15.29679	  73.31076	 37.14 	  10.45233	  58.07027	   16.27	   16.60	  5.438550	  0.0226	  0.0074	  735.23	   0.373	   0.370	  -0.786	   0.351
2RXS  J000749.2+731411     1.95505	  73.23659	 14.54 	  10.63475	  60.99516	    7.11	   11.81	  5.000293	  0.0175	  0.0074	  676.53	   0.000	   0.000	  -1.000	   0.861
2RXS  J000423.3+725618     1.09734	  72.93853	 11.38 	  10.38584	  61.02949	    8.21	   11.78	  4.844438	  0.0176	  0.0072	  671.17	  -0.950	   1.773	  -1.000	   3.663
2RXS  J000227.0+725441     0.61270	  72.91143	 10.61 	  10.38600	  61.13111	   17.76	   21.62	  6.126000	  0.0323	  0.0091	  669.86	   0.771	   0.155	   0.747	   0.157
2RXS  J003655.6+725547     9.23192	  72.92981	 24.30 	  10.08836	  59.12964	    6.59	   10.21	  4.281589	  0.0143	  0.0060	  712.07	   9.999	   9.999	   9.999	   9.999
2RXS  J000721.7+724326     1.84046	  72.72408	 12.95 	  10.13566	  60.72663	    9.12	   14.54	  5.510971	  0.0217	  0.0082	  669.08	  -0.586	   1.061	   1.000	   0.657
2RXS  J000552.2+723800     1.46771	  72.63350	 28.77 	  10.06598	  60.76426	    6.56	   15.68	  6.146069	  0.0233	  0.0091	  672.35	   9.999	   9.999	   9.999	   9.999
2RXS  J001526.2+723953     3.85957	  72.66477	  9.18 	   9.98274	  60.20745	   16.38	   16.37	  5.299995	  0.0236	  0.0076	  694.25	   1.000	   0.158	   0.930	   0.132
2RXS  J005625.2+721724    14.10520	  72.29006	 13.99 	   9.42187	  57.61975	    8.35	    8.22	  3.803204	  0.0127	  0.0059	  647.59	  -1.000	   0.284	  -1.000	   1.939
2RXS  J001845.7+721829     4.69076	  72.30830	 19.54 	   9.59581	  59.79202	   11.88	   14.26	  4.940772	  0.0206	  0.0071	  693.98	  -0.779	   0.211	   0.816	   1.206
2RXS  J002233.0+721811     5.63770	  72.30328	 13.89 	   9.55604	  59.56307	    8.65	   11.09	  4.464509	  0.0160	  0.0064	  692.70	  -0.020	   0.350	  -0.616	   0.501
2RXS  J010011.7+721053    15.04915	  72.18142	 19.11 	   9.32107	  57.33769	   11.26	   12.83	  4.524001	  0.0197	  0.0069	  651.05	   0.646	   0.274	   0.302	   0.235
2RXS  J001734.5+721212     4.39387	  72.20339	 10.83 	   9.50361	  59.79877	   14.07	   14.72	  5.029548	  0.0219	  0.0075	  672.68	   0.753	   0.137	   0.464	   0.138
2RXS  J001817.2+721117     4.57175	  72.18829	 53.18 	   9.48149	  59.74662	    6.88	   12.43	  5.230480	  0.0185	  0.0078	  673.54	   9.999	   9.999	   9.999	   9.999
2RXS  J013112.5+755342    22.80215	  75.89509	 10.90 	  13.21483	  58.45755	   51.49	   44.92	  7.854438	  0.0566	  0.0099	  794.19	   0.605	   0.123	   0.517	   0.119
2RXS  J011440.1+754355    18.66718	  75.73209	 14.19 	  12.92637	  59.07084	   21.76	   25.86	  6.348191	  0.0319	  0.0078	  811.69	   0.339	   0.235	   0.092	   0.236
2RXS  J014136.6+754533    25.40271	  75.75943	  7.33 	  13.19485	  57.92064	   39.73	   30.14	  6.382882	  0.0408	  0.0086	  738.36	   0.474	   0.268	   0.471	   0.237
2RXS  J010647.6+753609    16.69858	  75.60270	 10.12 	  12.75996	  59.34459	   17.27	   17.51	  5.464619	  0.0214	  0.0067	  818.48	   0.200	   0.249	   0.423	   0.260
2RXS  J015148.4+753517    27.95188	  75.58823	  9.09 	  13.16550	  57.37374	   30.19	   27.55	  6.506078	  0.0415	  0.0098	  663.95	   0.025	   0.164	   0.204	   0.208
2RXS  J020242.1+753153    30.67574	  75.53150	 13.49 	  13.28660	  56.89602	    7.12	   11.11	  4.988110	  0.0151	  0.0068	  733.29	   0.205	   0.200	   0.009	   0.225
2RXS  J014826.2+752835    27.10936	  75.47648	 11.82 	  13.00808	  57.42709	   10.40	    9.99	  4.019256	  0.0139	  0.0056	  716.91	   1.000	   3.370	  -1.000	   1.183
2RXS  J015308.3+751753    28.28467	  75.29818	  5.81 	  12.90407	  57.09868	  116.64	   70.86	  9.493620	  0.1021	  0.0137	  694.08	   1.000	   0.077	   0.464	   0.087
2RXS  J010744.9+750726    16.93736	  75.12403	 21.67 	  12.28605	  58.97931	    6.73	    9.86	  4.376101	  0.0120	  0.0053	  824.64	   9.999	   9.999	   9.999	   9.999
2RXS  J011538.3+751047    18.90966	  75.17977	 27.01 	  12.38224	  58.64797	   10.20	   18.06	  5.966204	  0.0226	  0.0075	  800.69	   0.939	   0.157	   0.540	   0.130
2RXS  J014455.8+750913    26.23273	  75.15366	 22.91 	  12.64460	  57.33091	   12.89	   20.44	  6.190354	  0.0267	  0.0081	  766.11	  -0.364	   0.197	   1.000	   0.330
2RXS  J015720.2+750340    29.33430	  75.06120	 13.42 	  12.74202	  56.74487	    8.99	    9.92	  4.169717	  0.0146	  0.0061	  681.45	  -1.000	   0.954	   0.000	   0.000
2RXS  J012707.7+750523    21.78245	  75.08982	 26.28 	  12.38044	  58.06086	    8.59	   14.39	  5.050754	  0.0182	  0.0064	  788.44	  -1.000	   0.399	   1.000	   1.043
2RXS  J013923.0+745542    24.84600	  74.92834	 16.66 	  12.35223	  57.40097	    8.51	   11.82	  4.672753	  0.0152	  0.0060	  779.40	  -0.835	   0.709	   1.000	   1.760
2RXS  J011929.6+744853    19.87360	  74.81497	 17.75 	  12.04526	  58.21474	   17.35	   21.21	  5.812402	  0.0268	  0.0073	  792.20	  -0.276	   0.209	   0.161	   0.354
2RXS  J015317.4+744645    28.32273	  74.77918	 12.92 	  12.40301	  56.69414	    8.72	   12.29	  4.949604	  0.0164	  0.0066	  748.48	   0.101	   0.189	   0.892	   0.179
2RXS  J020321.5+744221    30.83995	  74.70601	 14.70 	  12.50611	  56.22240	    6.60	    9.09	  4.331784	  0.0136	  0.0065	  666.52	   9.999	   9.999	   9.999	   9.999
2RXS  J015735.5+744246    29.39821	  74.71292	 11.17 	  12.40995	  56.46385	   12.03	   12.65	  4.658999	  0.0173	  0.0064	  730.34	   0.686	   0.823	   0.405	   0.485
2RXS  J012927.5+744448    22.36497	  74.74690	  6.83 	  12.06329	  57.70867	   53.47	   35.03	  6.868810	  0.0449	  0.0088	  780.04	   0.608	   0.226	   0.083	   0.215
2RXS  J020335.4+743856    30.89787	  74.64914	 16.41 	  12.45586	  56.16810	    6.62	    9.96	  4.771759	  0.0150	  0.0072	  665.80	   9.999	   9.999	   9.999	   9.999
2RXS  J020244.0+743535    30.68375	  74.59319	 21.04 	  12.38623	  56.15878	    6.62	   10.40	  4.648720	  0.0153	  0.0068	  680.88	   9.999	   9.999	   9.999	   9.999
2RXS  J010714.4+743209    16.81009	  74.53590	  8.29 	  11.69698	  58.60477	   61.84	   47.10	  7.950705	  0.0547	  0.0092	  860.30	  -0.417	   0.108	   0.910	   0.157
2RXS  J011105.5+742301    17.77322	  74.38375	 14.82 	  11.56334	  58.31281	    6.74	    9.57	  4.429579	  0.0113	  0.0052	  849.28	   9.999	   9.999	   9.999	   9.999
2RXS  J011249.4+741350    18.20589	  74.23059	 20.17 	  11.42019	  58.12218	    7.40	   13.48	  5.404678	  0.0159	  0.0064	  846.22	   0.502	   0.155	   0.348	   0.155
2RXS  J014037.6+741738    25.15673	  74.29416	 13.33 	  11.74556	  56.87221	   10.62	   13.21	  5.186420	  0.0174	  0.0068	  758.94	   1.000	   0.363	   0.770	   0.188
2RXS  J011232.7+741102    18.13661	  74.18397	 22.60 	  11.37215	  58.10311	   12.21	   18.77	  5.686365	  0.0221	  0.0067	  848.24	   0.527	   0.240	   0.234	   0.221
2RXS  J013752.5+741227    24.46915	  74.20766	 14.42 	  11.62548	  56.93071	   17.96	   21.28	  5.969323	  0.0280	  0.0078	  760.60	  -0.301	   0.164	   1.000	   0.182
2RXS  J013229.5+740425    23.12331	  74.07374	  9.83 	  11.43019	  57.07689	   15.99	   14.94	  4.807427	  0.0198	  0.0064	  755.32	   0.936	   0.329	   0.297	   0.226
2RXS  J013353.0+740212    23.47088	  74.03673	 12.58 	  11.40939	  56.98535	    8.28	   11.90	  4.706757	  0.0157	  0.0062	  756.13	   0.753	   0.313	  -0.388	   0.245
2RXS  J011327.1+735538    18.36315	  73.92744	 14.89 	  11.12185	  57.87881	    7.19	    8.59	  4.028421	  0.0103	  0.0048	  835.90	   0.609	   0.516	   0.241	   0.360
2RXS  J020234.3+735420    30.64318	  73.90581	 18.60 	  11.72293	  55.62090	    9.07	   14.23	  5.054562	  0.0192	  0.0068	  742.62	  -0.625	   0.178	   0.993	   0.600
2RXS  J020307.5+735056    30.78131	  73.84893	 14.98 	  11.67899	  55.55241	   13.62	   17.88	  5.602029	  0.0241	  0.0076	  741.08	  -0.114	   0.224	   1.000	   0.264
2RXS  J015555.5+735317    28.98162	  73.88829	 15.26 	  11.58393	  55.88971	    9.51	   13.29	  5.010358	  0.0170	  0.0064	  782.54	   0.048	   0.187	   0.081	   0.227
2RXS  J014523.1+734619    26.34646	  73.77198	 12.48 	  11.30056	  56.26273	    7.02	   10.30	  4.704700	  0.0137	  0.0062	  753.96	  -0.396	   0.241	   0.473	   0.467
2RXS  J013943.1+734242    24.92993	  73.71194	  7.02 	  11.16215	  56.47374	  112.95	   73.02	  9.608606	  0.0973	  0.0128	  750.20	  -0.248	   0.096	  -0.189	   0.155
2RXS  J012450.9+733924    21.21213	  73.65667	 11.03 	  10.93975	  57.13061	   32.68	   28.54	  6.343553	  0.0357	  0.0079	  799.67	   0.579	   0.218	   0.545	   0.179
2RXS  J020153.2+733251    30.47206	  73.54777	  8.70 	  11.36558	  55.36472	   48.80	   44.32	  8.012945	  0.0578	  0.0104	  767.37	  -0.830	   0.096	  -1.000	   0.480
2RXS  J011612.7+732825    19.05312	  73.47375	 15.50 	  10.68800	  57.42032	    7.15	    9.23	  4.178208	  0.0112	  0.0051	  821.14	   1.000	   0.544	   0.993	   0.219
2RXS  J020643.2+732025    31.68024	  73.34031	 13.94 	  11.26433	  54.99284	    7.13	    9.06	  4.257918	  0.0122	  0.0057	  741.51	   9.999	   9.999	   9.999	   9.999
2RXS  J014558.2+731715    26.49287	  73.28774	 24.04 	  10.83622	  55.86340	    7.78	   12.55	  4.951430	  0.0170	  0.0067	  737.67	   1.000	   0.135	   0.277	   0.141
2RXS  J013830.3+730241    24.62642	  73.04487	 10.95 	  10.49062	  56.02328	   12.54	   12.45	  4.441031	  0.0165	  0.0059	  752.68	   1.000	   0.683	   0.765	   0.343
2RXS  J015524.4+725403    28.85191	  72.90091	 12.62 	  10.61882	  55.13389	   37.58	   36.66	  7.335110	  0.0500	  0.0100	  732.71	  -0.531	   0.129	   0.717	   0.281
2RXS  J020512.4+724121    31.30174	  72.68932	 32.43 	  10.60922	  54.53122	    7.27	   15.01	  5.354079	  0.0202	  0.0072	  743.86	   0.005	   0.293	   0.149	   0.358
2RXS  J012345.7+724329    20.94057	  72.72499	 21.36 	  10.00575	  56.49915	   26.86	   31.78	  7.081855	  0.0400	  0.0089	  795.38	   0.979	   0.066	   0.799	   0.064
2RXS  J011213.4+723309    18.05619	  72.55258	 22.70 	   9.74443	  56.96153	    7.49	    9.74	  4.285539	  0.0133	  0.0059	  729.64	  -1.000	   0.282	  -1.000	   5.187
2RXS  J015058.4+722441    27.74340	  72.41143	 19.63 	  10.06419	  54.94848	    7.08	    9.45	  4.158986	  0.0132	  0.0058	  717.42	   0.085	   0.371	   0.703	   0.380
2RXS  J012038.0+722301    20.15854	  72.38374	 18.71 	   9.63866	  56.40506	    7.33	    8.76	  4.075104	  0.0112	  0.0052	  781.08	  -1.000	   1.547	   1.000	   3.353
2RXS  J013005.2+722425    22.52206	  72.40703	 17.73 	   9.75692	  55.94668	   14.22	   19.41	  5.800383	  0.0243	  0.0073	  797.52	  -0.452	   0.178	   0.637	   0.339
2RXS  J014043.9+722409    25.18307	  72.40276	 10.57 	   9.89125	  55.42435	   26.93	   25.91	  6.293164	  0.0339	  0.0082	  765.11	  -0.651	   0.150	  -0.007	   0.484
2RXS  J014557.6+722026    26.49023	  72.34075	 20.67 	   9.91084	  55.12732	    9.75	   12.52	  4.647122	  0.0170	  0.0063	  738.00	  -0.230	   0.230	   0.573	   0.337
2RXS  J020435.7+720929    31.14881	  72.15816	 23.11 	  10.08693	  54.12673	    7.34	   11.80	  4.514919	  0.0165	  0.0063	  717.18	   1.000	   0.618	   0.770	   0.310
2RXS  J015516.0+714748    28.81698	  71.79690	 18.23 	   9.54689	  54.25959	   24.28	   25.24	  6.151046	  0.0353	  0.0086	  715.07	   0.997	   0.201	   0.205	   0.152
2RXS  J015709.0+714331    29.28774	  71.72550	 13.64 	   9.51487	  54.11461	    8.51	    8.97	  3.952245	  0.0127	  0.0056	  708.07	   1.000	   1.077	   0.670	   0.486
2RXS  J015357.0+714121    28.48778	  71.68943	  9.64 	   9.41739	  54.23502	   17.22	   13.57	  4.546857	  0.0188	  0.0063	  722.04	  -0.151	   0.231	   0.113	   0.343
2RXS  J014605.7+714255    26.52378	  71.71539	 14.69 	   9.30204	  54.62965	    7.48	    8.88	  3.987967	  0.0116	  0.0052	  768.69	   1.000	   0.540	   0.114	   0.308
2RXS  J020517.9+712820    31.32464	  71.47223	 20.08 	   9.44502	  53.53455	    8.21	   10.58	  4.242648	  0.0153	  0.0061	  693.49	  -0.349	   1.728	  -1.000	   0.710
2RXS  J021033.7+712103    32.64053	  71.35111	 14.72 	   9.45329	  53.19748	    6.67	    8.85	  4.042188	  0.0127	  0.0058	  696.36	   9.999	   9.999	   9.999	   9.999
2RXS  J030318.6+752948    45.82753	  75.49670	 13.11 	  14.74136	  54.76519	   19.04	   19.13	  5.399452	  0.0334	  0.0094	  572.15	   0.166	   0.189	  -0.366	   0.208
